Date, Open, High, Low, Close, Volume
06/29/18, 186.29, 187.19, 182.91, 185.11, 22737666
06/28/18, 184.10, 186.21, 183.80, 185.50, 17365235
06/27/18, 185.2278, 187.28, 184.03, 184.16, 25285328
06/26/18, 182.99, 186.53, 182.54, 184.43, 24569201
06/25/18, 183.40, 184.92, 180.73, 182.17, 31663096
06/22/18, 186.12, 186.15, 184.70, 184.92, 27200447
06/21/18, 187.25, 188.35, 184.94, 185.46, 25711898
06/20/18, 186.35, 187.20, 185.73, 186.50, 20628701
06/19/18, 185.14, 186.33, 183.45, 185.69, 33578455
06/18/18, 187.88, 189.22, 187.20, 188.74, 18484865
06/15/18, 190.03, 190.16, 188.26, 188.84, 61719160
06/14/18, 191.55, 191.57, 190.22, 190.80, 21610074
06/13/18, 192.42, 192.88, 190.44, 190.70, 21638393
06/12/18, 191.385, 192.611, 191.15, 192.28, 16911141
06/11/18, 191.35, 191.97, 190.21, 191.23, 18308460
06/08/18, 191.17, 192.00, 189.77, 191.70, 26656799
06/07/18, 194.14, 194.20, 192.335, 193.46, 21347180
06/06/18, 193.63, 194.08, 191.92, 193.98, 20933619
06/05/18, 193.065, 193.94, 192.36, 193.31, 21565963
06/04/18, 191.635, 193.42, 191.35, 191.83, 26266174
06/01/18, 187.9912, 190.26, 187.75, 190.24, 23442510
05/31/18, 187.22, 188.23, 186.14, 186.87, 27482793
05/30/18, 187.72, 188.00, 186.78, 187.50, 18690547
05/29/18, 187.60, 188.75, 186.87, 187.90, 22514075
05/25/18, 188.23, 189.65, 187.65, 188.58, 17460963
05/24/18, 188.77, 188.84, 186.21, 188.15, 23233975
05/23/18, 186.35, 188.50, 185.76, 188.36, 20058415
05/22/18, 188.375, 188.88, 186.78, 187.16, 15240704
05/21/18, 188.00, 189.27, 186.9106, 187.63, 18400787
05/18/18, 187.19, 187.8102, 186.13, 186.31, 18297728
05/17/18, 188.00, 188.91, 186.36, 186.99, 17294029
05/16/18, 186.07, 188.46, 186.00, 188.18, 19183064
05/15/18, 186.78, 187.07, 185.10, 186.44, 23695159
05/14/18, 189.01, 189.53, 187.86, 188.15, 20778772
05/11/18, 189.49, 190.06, 187.45, 188.59, 26212221
05/10/18, 187.74, 190.37, 187.65, 190.04, 27989289
05/09/18, 186.55, 187.40, 185.22, 187.36, 23211241
05/08/18, 184.99, 186.22, 183.665, 186.05, 28402777
05/07/18, 185.18, 187.67, 184.75, 185.16, 42451423
05/04/18, 178.25, 184.25, 178.17, 183.83, 56201317
05/03/18, 175.88, 177.50, 174.4411, 176.89, 34068180
05/02/18, 175.225, 177.75, 173.80, 176.57, 66539371
05/01/18, 166.4102, 169.20, 165.27, 169.10, 53569376
04/30/18, 162.1302, 167.26, 161.84, 165.26, 42427424
04/27/18, 164.00, 164.33, 160.63, 162.32, 35655839
04/26/18, 164.12, 165.73, 163.37, 164.22, 27963014
04/25/18, 162.62, 165.42, 162.41, 163.65, 28382084
04/24/18, 165.67, 166.33, 161.2201, 162.94, 33692017
04/23/18, 166.835, 166.92, 164.09, 165.24, 36515477
04/20/18, 170.595, 171.2184, 165.43, 165.72, 65491140
04/19/18, 174.95, 175.39, 172.66, 172.80, 34808800
04/18/18, 177.81, 178.82, 176.88, 177.84, 20754538
04/17/18, 176.49, 178.9365, 176.41, 178.24, 26605442
04/16/18, 175.0301, 176.19, 174.8301, 175.82, 21578420
04/13/18, 174.78, 175.84, 173.85, 174.73, 25124255
